provider_number,fy_start,fy_end,date_processed,date_created,data_source,beds,tot_charges,net_pat_rev,tot_discounts,tot_operating_exp,ip_charges,icu_charges,ancillary_charges,tot_discharges,mcare_discharges,mcaid_discharges,tot_mcare_payment,secondary_mcare_payment,street,city,state,zip,county,name,uncomp_care,cost_to_charge,new_cap_ass,cash,fixed_assets,depr_land,depr_bldg,depr_lease,depr_fixed_equip,depr_auto,depr_major_equip,depr_minor_equip,current_assets,current_liabilities,pps_ip_charges,pps_op_charges,pps_mcare_cost,pps_pgm_cost,hvbp_payment,hrrp_payment,tot_uncomp_care_charges,tot_uncomp_care_partial_pmts,bad_debt,depr_HIT,year,source
340069,2008-10-01,2009-09-30,2012-04-17,2012-04-06,v1996,511.0,2286104979.0,658171637.0,1627933342.0,698488466.0,138925129.0,86610105.0,1188220663.0,37133.0,11867.0,11031.0,156526344.0,40716.0,300 NEW BERN AVENUE,RALEIGH,NC,27620,WAKE,WAKEMED RALEIGH CAMPUS,223056024.0,0.256477,49647230.0,147319000.0,573499000.0,,,,,,,,571069000.0,192876000.0,1462209191.0,819949694.0,147726146.0,141742808.0,,,,,,,2009,unique reports
340070,2009-01-01,2009-12-31,2012-06-15,2012-06-15,v1996,182.0,398447313.0,206420542.0,192026771.0,205909662.0,17243595.0,7191813.0,128897084.0,12088.0,3512.0,2548.0,27057537.0,31721.0,1240 HUFFMAN MILL ROAD,BURLINGTON,NC,27216-0202,ALAMANCE,ALAMANCE REGIONAL MEDICAL CENTER INC,32035596.0,0.43017,8921558.0,-1477319.0,110280802.0,1983928.0,32017458.0,2320084.0,1915507.0,,71998374.0,,66084698.0,28606493.0,154252121.0,220730252.0,27765819.0,25362226.0,,,,,,,2009,unique reports
340071,2008-10-01,2009-09-30,2012-04-17,2012-04-10,v1996,101.0,212347191.0,102830810.0,109516381.0,74093634.0,15781251.0,2723572.0,63486873.0,6239.0,2140.0,2390.0,21997281.0,39828.0,800 TILGHMAN DRIVE,DUNN,NC,28334,HARNETT,BETSY JOHNSON REGIONAL HOSPITAL,32131056.0,0.316201,3951314.0,9419728.0,42602372.0,349874.0,13425824.0,,2212135.0,,16496381.0,16940.0,25349551.0,11705128.0,88459576.0,121975347.0,16470041.0,15505365.0,,,,,,,2009,unique reports
340075,2009-01-01,2009-12-31,2012-04-17,2012-04-11,v1996,162.0,252871311.0,100445794.0,152425517.0,106422134.0,13242705.0,4689787.0,82725592.0,5501.0,2154.0,2137.0,17907811.0,20383.0,2201 SOUTH STERLING STREET,MORGANTON,NC,28655,BURKE,GRACE HOSPITAL,22672359.0,0.266294,3457886.0,1387342.0,83267917.0,20748806.0,,49860177.0,,,16850397.0,,39504173.0,80314350.0,120823149.0,125273925.0,15914626.0,13753122.0,,,,,,,2009,unique reports
340084,2009-01-01,2009-12-31,2012-04-17,2012-04-09,v1996,52.0,68773927.0,26908979.0,41864948.0,30704476.0,3181470.0,,17883679.0,1069.0,597.0,185.0,4388606.0,,500 MORVEN ROAD,WADESBORO,NC,28170,ANSON,ANSON COMMUNITY HOSPITAL,5890939.0,0.332731,4042627.0,257562.0,8490191.0,2762817.0,1310386.0,,4864897.0,,7463919.0,,7761296.0,5869762.0,27897246.0,38309050.0,4007173.0,3874268.0,,,,,,,2009,unique reports
340085,2009-01-01,2009-12-31,2012-10-26,2012-09-18,v1996,121.0,157200936.0,61096254.0,96104682.0,57225141.0,3715322.0,2937475.0,49146340.0,4059.0,926.0,1213.0,7201765.0,11966.0,207 OLD LEXINGTON ROAD,THOMASVILLE,NC,27360,DAVIDSON,THOMASVILLE MEDICAL CENTER,21293368.0,0.321493,1726574.0,93502.0,20680808.0,608706.0,14907713.0,,3977005.0,,16341666.0,,5685641.0,-23354533.0,64731868.0,90533091.0,5747173.0,5310741.0,,,,,,,2009,unique reports
340087,2008-10-01,2009-09-30,2012-02-09,2012-02-08,v1996,49.0,65227514.0,32672462.0,32555052.0,36059681.0,3022646.0,1271206.0,12815142.0,1634.0,865.0,312.0,6016233.0,1732.0,430 RANKIN DRIVE,MARION,NC,28752,MCDOWELL,THE MCDOWELL HOSPITAL,,0.401929,1340158.0,882661.0,11771403.0,588436.0,3948028.0,1163957.0,2579481.0,,9906175.0,,6175911.0,3947186.0,18413957.0,45470803.0,5741576.0,5241848.0,,,,,,,2009,unique reports
340090,2008-10-01,2009-09-30,2011-06-08,2011-05-31,v1996,155.0,422602432.0,156031865.0,266570567.0,164215833.0,25228968.0,6567376.0,149862167.0,7693.0,3340.0,2814.0,31806511.0,42813.0,HIGHWAY 301 NORTH,SMITHFIELD,NC,27577,JOHNSTON,JOHNSTON HEALTH,61977342.0,0.265517,3928980.0,27695858.0,165579927.0,,,,,,,56483411.0,55654388.0,32154900.0,183261267.0,208895120.0,30422096.0,28312108.0,,,,,,,2009,unique reports
340091,2008-10-01,2009-09-30,2012-04-17,2012-04-08,v1996,846.0,1494028238.0,717051824.0,776976414.0,643147865.0,106012760.0,50966720.0,592145881.0,50038.0,13157.0,10663.0,134477359.0,121921.0,1200 NORTH ELM ST,GREENSBORO,NC,27401,GUILFORD,THE MOSES H. CONE MEMORIAL HOSPITAL,140061584.0,0.418761,2318656.0,31766895.0,81650977.0,,,,,,117402656.0,,274132128.0,102358743.0,797641297.0,626149005.0,120044722.0,112483389.0,,,,,,,2009,unique reports
340096,2008-10-01,2009-09-30,2012-02-08,2012-02-08,v1996,80.0,127715226.0,49963858.0,77751368.0,52017424.0,4018188.0,4628445.0,36897824.0,2899.0,1226.0,1524.0,8629794.0,16966.0,250 HOSPITAL DRIVE,LEXINGTON,NC,27292,DAVIDSON,LEXINGTON MEMORIAL HOSPITAL  INC.,13947640.0,0.378013,40272533.0,5376919.0,16887757.0,1407141.0,14971397.0,,2998937.0,106879.0,33678886.0,,15630325.0,8727552.0,46252613.0,80641671.0,9341036.0,8444252.0,,,,,,,2009,unique reports
